Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2013-025,(6) Complete,345 Arguello,345,Arguello,Blvd,94118,1432,49,1,Inner Richmond,Inner Richmond,MOHCD,Rental Assistance Demonstration Program (RAD),,Rehabilitation,Rental,11/13/2015,11/01/2015,11/25/2015,,11/01/2015,07/12/2017,Mercy Housing California,John Stewart Company,"345 Arguello, LP",2015-004138PRJ,http://propertymap.sfplanning.org/?search=2015-004138PRJ,,,,201503272037,69,68,1,99,,59,9,,,,,8,1,2bd,,68,,,,,,,,,68,,,,,,,,,,,,37.78421498,-122.4594665,"(37.784214984, -122.459466479999)"
2012-011,(6) Complete,307 Octavia (Parcel P),307,Octavia,Blvd,94102,831,23,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,04/05/2013,07/17/2013,07/17/2013,03/28/2017,"Avalon Bay Communities, Inc.",,,2011.0744,http://propertymap.sfplanning.org/?search=2011.0744,"2011.0744C,2011.0744E,2011.0744E_3,2011.0744E_5,2011.0744K,2011.0744Q,2011.0744U",06/28/2012,Fee Payment,201210051462,182,,182,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77496211,-122.4251196,"(37.774962108, -122.425119562999)"
2018-052a,(2) Predevelopment Feasibility,SFHA Scattered Sites - Noriega,4101,Noriega,St,94122,2085,1,4,Sunset/Parkside,Outer Sunset,MOHCD,Bond Financed Multifamily Housing,,Rehabilitation,Rental,,02/14/2022,,,02/14/2022,12/15/2022,Mission Housing Development Corporation,,San Francisco Housing Authority until transfer to MHDC affiliated L.P.,Not Applicable,,,,,,8,8,,100,,,,3,3,2,,,,,8,,,,,,,,,,8,,,,,,,,,,,,37.75284,-122.50754,"(37.75284, -122.50754)"
2016-096,(1) Preliminary Phase,"HPSY II-CP, Block 7",,Address not yet assigned,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Unknown,,04/01/2024,,,04/01/2024,12/01/2025,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,,60,59,1,98,,,,,,,,,1,,59,,,,,,,,,,,,59,,,,,,,,,,37.71648001,-122.3872751,"(37.716480014, -122.387275109999)"
2016-080,(5) First Construction Document Issued,681 Florida (2070 Bryant),681,Florida,St,94110,4022,21,9,Mission,Mission,MOHCD,Multifamily Rental Program,,New Construction,Rental,,10/19/2020,10/23/2018,10/21/2020,10/21/2020,10/10/2022,Tenderloin Neighborhood Development Corporation,Mission Economic Development Agency,681 Florida L.P.,2017-014088PRJ,http://propertymap.sfplanning.org/?search=2017-014088PRJ,,05/01/2018,,201802211851,130,129,1,99,,44,30,41,14,,,13,1,1bd,129,,,39,,39,,,39,33,10,,12,35,,,,,,,,,37.76104061,-122.4105471,"(37.761040613, -122.410547142999)"
2015-046,(6) Complete,Stage 1075,1075,Market,St,94103,3703,248-339 (92 parcels),6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,08/15/2016,11/03/2016,11/03/2016,02/23/2018,Encore Market St LLC,,,2013.169,http://propertymap.sfplanning.org/?search=2013.1690,"2013.1690CND,2013.1690CUA,2013.1690E,2013.1690PPA,2013.1690U,2013.1690X",10/22/2015,On-site BMR Project,201405286908,90,11,79,12,,4,6,1,,,,,,,11,,,,,,,,,,,,,,11,,,,,,,,37.78064422,-122.4116152,"(37.7806442150888, -122.41161520228)"
2020-001,(4) Site Work Permit Issued,3230-3236 24th St,3230,24th,St,94110,3642,96,9,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,02/25/2020,,08/25/2020,10/19/2022,Weisbach Architecture + Design,,Joseph & Dominic Galu,2016-014062PRJ,http://propertymap.sfplanning.org/?search=2016-014062PRJ,,01/02/2020,Fee Payment,201708154803,17,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7525,-122.41703,"(37.7525, -122.41703)"
2018-040,(5) First Construction Document Issued,1863 Mission,1863,Mission,St,94110,3548,"033, 039",9,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,12/20/2018,06/05/2019,06/05/2019,07/29/2021,Corvorn LLC,,,2009.1011,http://propertymap.sfplanning.org/?search=2009.1011,,12/18/2018,On-site BMR Project,200603277584,37,4,33,11,,1,1,2,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,37.76726568,-122.4194619,"(37.767265684, -122.419461866999)"
1980-001a,(2) Predevelopment Feasibility,Through Line Scattered Sites - Consorcia Apts,1204,Mason,St,94108,191,16,3,Chinatown,Nob Hill,MOHCD,Bond Financed Multifamily Housing,,Rehabilitation,Rental,,04/01/2022,,,04/01/2022,10/01/2023,Chinatown Community Development Center,,"Through Line, L.P.",2020-010118PRJ,http://propertymap.sfplanning.org/?search=2020-010118PRJ,,,,,24,23,1,96,,17,6,,,,,,1,1bd,23,,,,,,,,,,,,23,,,,,,,,,,37.79475,-122.4112,"(37.79475, -122.4112)"
2020-039,(3) Design with Entitlements Approved,1051 3rd St (Mission Rock Parcel F),1051,3rd,St,94158,8719A,4,6,Mission Bay,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,,,10/25/2022,12/18/2024,Tishman Speyer Development LLC,,,2013.0208PHA,,,10/26/2020,On-site BMR Project,,258,97,161,38,,,,,,,,,,,97,,,,,,,,,,,,,,13,,,,56,,28,,37.77501,-122.38975,"(37.77501, -122.38975)"
2011-034,(3) Design with Entitlements Approved,Parkmerced - Phase IC & 1D,3711,19th,Ave,94132,,,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,,,02/08/2013,06/29/2019,Maximus,,,2008.0021,http://propertymap.sfplanning.org/?search=2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,"On-site BMR Project, Fee Payment",,545,27,518,5,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,27,37.71701001,-122.4789231,"(37.717010014, -122.478923092999)"
2018-052c,(2) Predevelopment Feasibility,SFHA Scattered Sites - Randolph,200,Randolph,St,94132,7089,49,11,Oceanview/Merced/Ingleside,Oceanview,MOHCD,Bond Financed Multifamily Housing,,Rehabilitation,Rental,,02/14/2022,,,02/14/2022,03/05/2023,Mission Housing Development Corporation,,San Francisco Housing Authority until transfer to MHDC affiliated L.P.,2020-009544PRJ,http://propertymap.sfplanning.org/?search=2020-009544PRJ,,,,,16,15,1,94,,,,7,2,6,,,1,2bd,15,,,,,,,,,,15,,,,,,,,,,,,37.71433,-122.4647,"(37.71433, -122.4647)"
2016-105,(1) Preliminary Phase,"CP-02 ""Infield"" Senior",,Address not yet assigned,,94124,,,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,Candlestick Point,New Construction,Rental,,09/01/2022,,,09/01/2022,02/23/2024,,,,Not Applicable,,,,,,105,104,1,99,,,,,,,,,,1,,104,,,,,,,,,,,,,,,,,104,,,,37.71356453,-122.3842862,"(37.713564531, -122.384286152999)"
2017-031,(4) Site Work Permit Issued,2918 Mission,2918,Mission,St,94110,6529,2,9,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,07/01/2023,11/13/2018,,05/14/2019,07/07/2021,"RRTI, Inc.",,,2014.0376,http://propertymap.sfplanning.org/?search=2014.0376,"2014.0376CUA,2014.0376ENV,2014.0376LLA,2014.0376TDM,2014.0376U,2014.0376VAR",11/09/2018,On-site BMR Project,201612285987,75,8,67,11,,2,4,2,,,,,,,8,,,,,,,,,,7,1,,,,,,,,,,,37.75017498,-122.4185618,"(37.750174979, -122.418561819999)"
2013-063,(6) Complete,1335 Folsom,1335,Folsom,St,94103,3516,63,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,03/24/2017,04/28/2017,04/28/2017,10/10/2018,Realtex Condominiums LLC,,,2013.1281,http://propertymap.sfplanning.org/?search=2013.1281,"2013.1281CND,2013.1281DRP,2013.1281DRP-02,2013.1281E,2013.1281PPA,2013.1281U,2013.1281V,2013.1281VAR-02,2015-013054PRV",07/14/2016,On-site BMR Project,201406269542,53,7,46,13,7,,,,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,,37.7732086,-122.4118855,"(37.773208604, -122.411885461999)"
2020-006,(3) Design with Entitlements Approved,542-550 Howard St (Transbay Parcel F),542-550,Howard,St,94105,3721,16,6,Financial District/South Beach,Financial District,OCII,Inclusionary Housing Program,Transbay,New Construction,Ownership,,,,,01/07/2022,03/02/2024,Farella Braun + Martell,,"Parcel F Owners, LLC",2016-013312PRJ,http://propertymap.sfplanning.org/?search=2016-013312PRJ,,01/09/2020,Off-site BMR Project,,165,54,111,33,,,7,30,17,,,,,,54,,,,,,,,,,,,,30,,,12,,,12,,,37.78752,-122.39737,"(37.78752, -122.39737)"
2013-001,(6) Complete,2895 San Bruno,2895,San Bruno,Ave,94134,5457,37,9,Portola,Excelsior,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,08/19/2013,01/27/2014,01/27/2014,01/06/2017,,,,2010.0627,http://propertymap.sfplanning.org/?search=2010.0627,"2010.0627C,2010.0627E",01/17/2013,On-site BMR Project,"201209270758, 201209270763, 201209270765, 201209270766",10,1,9,10,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,37.72554115,-122.4024487,"(37.725541148, -122.402448712999)"
2015-013,(6) Complete,1684-1688 Grove,1684-1688,Grove,St,94117,1185,19,5,Lone Mountain/USF,Haight Ashbury,MOHCD,Small Sites Program,,Rehabilitation,Rental,01/22/2016,07/07/2016,07/13/2016,,07/07/2016,08/30/2016,San Francisco Community Land Trust,,San Francisco Community Land Trust,Not Applicable,,,,,201607132181,3,3,,100,,,,2,1,,,,,,153,,,253,,,,,,,,,,3,,,,,,,,,37.77534927,-122.4443687,"(37.775349266, -122.444368680999)"
2016-011,(6) Complete,580 De Haro,580,De Haro,St,94107,4008,"008, 011, 014, 017, 021, 022, 023, 024",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,09/23/2016,01/05/2017,01/05/2017,04/19/2019,,,,2013.1671,http://propertymap.sfplanning.org/?search=2013.1671,"2013.1671C,2013.1671E,2013.1671U",02/11/2016,Fee Payment,"201402269324, 201402269327, 201402269328, 201402269329, 201402269330, 201402269331, 201402269332",12,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7625648,-122.4016989,"(37.762564798, -122.401698861999)"
2016-049,(3) Design with Entitlements Approved,901 16th (related to 1200 17th),901,16th,St,94107,3949,1,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,,,05/11/2018,07/04/2020,"Potrero Partners, LLC",,,2011.13,http://propertymap.sfplanning.org/?search=2011.1300,"2011.1300E,2011.1300K,2011.1300PPA,2011.1300U,2011.1300X",05/12/2016,On-site BMR Project,,260,42,218,16,,8,17,15,2,,,,,,42,,,,,,,,,,,,,,42,,,,,,,,37.76583663,-122.3956884,"(37.765836629, -122.395688368999)"
1984-010,(6) Complete,South Beach Marina Apartments,2,Townsend,St,94107,3789,"028, 029",6,Financial District/South Beach,South of Market,MOHCD,Bond Financed Multifamily Housing,,Rehabilitation,Rental,,,,,,,"South Beach Marina , Inc.",,"South Beach Marina , Inc.",Not Applicable,,,,,,414,101,313,24,,,53,48,,,,,,,101,,,,,,,,,,,,,,,,,,101,,,,37.78240667,-122.3898079,"(37.78240667, -122.389807907999)"
2018-018,(4) Site Work Permit Issued,635 Fulton St,635,Fulton,St,94102,795,27,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,12/31/2018,,07/01/2019,08/24/2021,802 Franklin LLC,,,2017-007542PRJ,http://propertymap.sfplanning.org/?search=2017-007542PRJ,"2017-007542CUA,2017-007542ENV,2017-007542PPA,2017-007542TDM,2017-007542VAR",08/30/2018,Fee Payment,,17,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.78004218,-122.4250045,"(37.780042178, -122.425004534999)"
2013-006,(6) Complete,5400 Geary  (aka 369 18th Ave),5400,Geary,St,94121,1450,048-141 (89 parcels),1,Outer Richmond,Inner Richmond,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,06/11/2015,03/17/2016,03/17/2016,02/01/2019,,,,2004.0482,http://propertymap.sfplanning.org/?search=2004.0482,"2004.0482C,2004.0482CND,2004.0482E,2004.0482K,2004.0482SUB",04/25/2013,On-site BMR Project,"200806275518, 200806275522",43,5,33,12,,,2,3,,,,,,,5,,,,,,,,,,,,1,,,4,,,,,,,37.78114244,-122.4775965,"(37.781142437, -122.477596542999)"
2015-044,(6) Complete,1463 Lombard,1463,Lombard,St,94123,503,113-127 (16 parcels),2,Marina,Marina,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,07/25/2016,12/29/2016,12/29/2016,07/26/2018,1463-65 Lombard LLC,,,2013.1022,http://propertymap.sfplanning.org/?search=2013.1022,"2013.1022C,2013.1022E,2013.1022PPA,2013.1022U",10/08/2015,On-site BMR Project,201404223881,14,3,11,21,,,3,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,37.80089147,-122.4255467,"(37.80089147, -122.425546670999)"
2017-001,(6) Complete,3800 Mission,3800,Mission,St,94110,6692,1,8,Bernal Heights,Bernal Heights,MOHCD,Small Sites Program,,Rehabilitation,Rental,02/24/2017,03/19/2018,,,03/19/2018,04/15/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",2018-007390PRL,http://propertymap.sfplanning.org/?search=2018-007390PRL,,,,,5,5,,100,,1,4,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,37.7358484,-122.4248428,"(37.735848397, -122.424842751999)"
2018-009,(3) Design with Entitlements Approved,600 20th,600,20th,St,94107,4058,2,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,,,06/12/2020,08/06/2022,Workshop1,,,2016-008651PRJ,http://propertymap.sfplanning.org/?search=2016-008651PRJ,"2016-008651ENV,2016-008651ENX,2016-008651PPA,2016-008651TDM",06/14/2018,On-site BMR Project,,21,3,18,14,,,1,2,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,37.76077864,-122.3878021,"(37.760778641, -122.387802088999)"
2019-028,(5) First Construction Document Issued,921 Howard St,921,Howard,St,94103,3732,100,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,,New Construction,Rental,,07/10/2021,05/24/2021,05/24/2021,05/24/2021,11/20/2022,Tenderloin Neighborhood Development Corporation,,Tenderloin Neighborhood Development Corporation,2017-000275PRJ,http://propertymap.sfplanning.org/?search=2017-000275PRJ,,,,201912230270,203,201,2,99,,15,82,88,16,,,,2,1bd,201,,,,,,,,,,,,102,,48,,,,51,,,,37.78078,-122.40511,"(37.78078, -122.40511)"
2019-029,(2) Predevelopment Feasibility,1939 Market St,1939,Market,St,94103,3501,"006, 007",8,Mission,Mission,MOHCD,Multifamily Rental Program,,New Construction,Rental,,05/01/2024,,,05/01/2024,04/01/2026,Mercy Housing California,Openhouse,,Not Yet Available,,,,,,60,59,1,98,,,,,,,,,1,,,59,,,,,,,,,,,,,,,,,,,,59,37.76995,-122.42533,"(37.76995, -122.42533)"
2016-003,(3) Design with Entitlements Approved,"HPSY II-CPS, Block 11A",83,Harney,Way,94124,5000,36,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,,06/01/2024,,,06/01/2024,06/01/2026,San Francisco Housing Development Corporation,Mercy Housing California,"Candlestick Point 11a, LP",Not Applicable,,,03/20/2018,,201804136325,176,175,1,99,,2,45,56,68,3,1,,1,2bd,170,,5,38,,38,,,,,,,175,,,,,,,,,,37.71119086,-122.3854628,"(37.711190864, -122.385462806999)"
2014-033,(6) Complete,1450 15th,1450,15th,St,94103,3549,096-118 (24 parcels),9,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,05/29/2015,08/18/2015,08/18/2015,12/11/2017,,,,2013.0124,http://propertymap.sfplanning.org/?search=2013.0124,"2013.0124E,2013.0124E_3,2013.0124PPA,2013.0124U,2013.0124X",12/11/2014,Fee Payment,201306280738,23,,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.76709156,-122.4168334,"(37.767091563, -122.416833420999)"
1990-008,(5) First Construction Document Issued,Hamlin Hotel,385,Eddy,St,94102,338,18,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,,Rehabilitation,Rental,,09/16/2019,,,09/16/2019,02/15/2021,Chinatown Community Development Center,,"Hamlin Hotel 2019, LP",Not Applicable,,,,,,69,67,2,97,67,,,,,,,,2,SRO,67,,,67,,,,,,,67,,,,,,,,,,,,37.78355992,-122.4138631,"(37.783559921, -122.413863073999)"
2017-007,(3) Design with Entitlements Approved,1228 Folsom (725 Clementina),1228,Folsom,St,94103,3729,11,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,,,01/04/2019,02/27/2021,RG Architecture,,,2014.0964,http://propertymap.sfplanning.org/?search=2014.0964,"2014.0964ENV,2014.0964ENX,2014.0964GEN-02,2014.0964PPA,2014.0964U,2014.0964VAR",01/05/2017,On-site BMR Project,201509258131,24,3,21,13,,,2,1,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,37.77480902,-122.4109029,"(37.774809017, -122.410902859999)"
2017-006,(6) Complete,35 Fair,29-35,Fair,Ave,94110,5609,7,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites Program,,Rehabilitation,Rental,07/14/2017,01/02/2019,,,01/02/2019,06/28/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,,4,4,,100,,,4,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,37.7455304,-122.4191911,"(37.745530401, -122.419191109999)"
2009-003,(6) Complete,1622-1650 Broadway,1622-1650,Broadway,,94123,570,"045, 046",2,Pacific Heights,Pacific Heights,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,12/10/2012,07/18/2014,07/18/2014,05/31/2016,1650 Broadway LLC,,,2008.0862,http://propertymap.sfplanning.org/?search=2008.0862,"2008.0862C,2014-002634CND,2014-002635LLA",09/02/2014,Fee Payment,201203055396,34,,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.79592459,-122.424407,"(37.795924586, -122.424407048999)"
2020-016,(1) Preliminary Phase,71 Boardman,71,Boardman,Pl,94103,3779,84,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,,New Construction,Rental,,,,,,,The John Stewart Company,Conard House,,Not Yet Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77448,-122.40235,"(37.77448, -122.40235)"
2020-033,(3) Design with Entitlements Approved,10 South Van Ness,10,South Van Ness,Ave,94103,3506,4,6,Mission,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,,,06/10/2022,08/03/2024,10 SVN LLC,,10 SVN LLC,2015-004568PRJ,,,06/11/2020,Land Dedication,,966,,966,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77426,-122.41949,"(37.77426, -122.41949)"
2013-029,(6) Complete,Hunters Point East / West,90,Kiska,Rd,94124,4700,"122, 123",10,Bayview Hunters Point,Bayview,MOHCD,Rental Assistance Demonstration Program (RAD),,Rehabilitation,Rental,11/13/2015,11/01/2015,06/15/2016,11/07/2016,11/07/2016,03/21/2019,San Francisco Housing Development Corporation,John Stewart Company,Hunters Point East West LP,2015-015745PRJ,http://propertymap.sfplanning.org/?search=2015-015745PRJ,,,,"201511031578, 201511031579, 201511031580, 201511031581, 201511031582, 201511031586, 201511031587, 201511031589, 201511031590, 201511031591, 201511031592, 201511031593, 201511031594, 201511031595, 201511031596, 201511031597, 201511031598, 201511031599, 201511031600, 201511031601, 201511031602, 201511301588",213,211,2,99,,,17,121,34,29,10,12,2,"2bd, 3bd",211,,,,,,,,,,211,,,,,,,,,,,,37.73062917,-122.3770932,"(37.730629169, -122.377093152999)"
2019-017,(3) Design with Entitlements Approved,3314 Cesar Chavez St,3314,Cesar Chavez,St,94110,6571,12,9,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,,,08/20/2021,10/14/2023,"RG-Architecture, Inc.",,,2014-003160PRJ,http://propertymap.sfplanning.org/?search=2014-003160PRJ,,08/22/2019,On-site BMR Project,,57,11,,19,,,6,5,,,,,,,11,,,,,,,,,,,,,6,,,2,,,3,,,37.748623,-122.416527,"(37.748623, -122.416527)"
